Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
37,IND-3MABJMYM,05-03-2025,10-03-2025,CUST-IN-151454,Neha Gupta,Corporate,India,Ahmedabad,Gujarat,380001,West,TEC-CH-87496064,Furniture,Furnishings,Office Chair,190.92,5,0.6,-147.963
38,IND-3CKBNB8Z,19-01-2024,20-01-2024,CUST-IN-073645,Rohit Singh,Home Office,India,Bhubaneswar,Odisha,751001,East,FUR-MU-49768418,Stationery,Envelopes,Pen Set,113.328,9,0.2,35.415
39,IND-MLF6PI47,11-11-2025,12-11-2025,CUST-IN-116181,Priya Khan,Home Office,India,Delhi,Delhi,110001,North,TEC-VN-31606450,Electronics,Bookcases,Laptop,532.3992,3,0.32,-46.9764
40,IND-7ODQJUF6,26-08-2024,27-08-2024,CUST-IN-496857,Anjali Mehta,Home Office,India,Bhubaneswar,Odisha,751001,East,OFF-EN-87040850,Electronics,Chairs,Monitor,212.058,3,0.3,-15.147
41,IND-01TJRPJS,20-05-2024,25-05-2024,CUST-IN-976859,Arjun Nair,Home Office,India,Hyderabad,Telangana,500001,South,FUR-QF-42228705,Furniture,Phones,Wooden Table,371.168,4,0.2,41.7564
42,IND-TVI7UV38,11-06-2025,14-06-2025,CUST-IN-890222,Kavya Patel,Corporate,India,Bhubaneswar,Odisha,751001,East,FUR-WV-87061423,Furniture,Phones,Bookshelf,147.168,4,0.2,16.5564
43,IND-AWCSZ4GY,31-01-2025,05-02-2025,CUST-IN-627526,Sneha Patel,Corporate,India,Bengaluru,Karnataka,560001,South,FUR-XO-61876749,Furniture,Storage,Wooden Table,77.88,2,0,3.894
44,IND-WUTF2ZR7,01-09-2023,04-09-2023,CUST-IN-994884,Rahul Patel,Corporate,India,Kolkata,West Bengal,700001,East,FUR-WX-33522263,Furniture,Storage,Sofa Set,95.616,2,0.2,9.5616
45,IND-0BB7RKMU,18-09-2024,23-09-2024,CUST-IN-472245,Kavya Iyer,Corporate,India,Hyderabad,Telangana,500001,South,TEC-NH-72601088,Furniture,Accessories,Office Chair,45.98,2,0,19.7714
46,IND-F6K6LYD8,24-10-2025,25-10-2025,CUST-IN-261575,Neha Khan,Corporate,India,Jaipur,Rajasthan,302001,North,OFF-LT-10279161,Stationery,Binders,Notebook,17.46,2,0,8.2062
47,IND-G12DA8XX,31-07-2023,04-08-2023,CUST-IN-049389,Neha Patel,Consumer,India,Kolkata,West Bengal,700001,East,FUR-VT-33067291,Stationery,Storage,Marker Pack,211.96,4,0,8.4784
48,IND-8RJJWU85,26-01-2024,28-01-2024,CUST-IN-248955,Rohit Patel,Consumer,India,Delhi,Delhi,110001,North,FUR-FL-02527380,Stationery,Accessories,Marker Pack,45,3,0,4.95
49,IND-5OQ1WS08,01-07-2025,03-07-2025,CUST-IN-547141,Anjali Nair,Consumer,India,Lucknow,Uttar Pradesh,226001,North,TEC-AV-41762110,Stationery,Phones,Desk Organizer,21.8,2,0,6.104
50,IND-NDCG30IZ,12-07-2023,14-07-2023,CUST-IN-354407,Neha Mehta,Consumer,India,Delhi,Delhi,110001,North,TEC-BL-54374014,Furniture,Binders,Sofa Set,38.22,6,0,17.9634
51,IND-FVTW2HGL,24-05-2024,29-05-2024,CUST-IN-464785,Rahul Singh,Consumer,India,Kolkata,West Bengal,700001,East,FUR-MH-89903956,Furniture,Labels,Sofa Set,75.18,6,0,35.3346
52,IND-5T4SXWOV,10-01-2025,13-01-2025,CUST-IN-530820,Vikram Patel,Consumer,India,Jaipur,Rajasthan,302001,North,FUR-PX-81882138,Furniture,Furnishings,Wooden Table,6.16,2,0,2.9568
53,IND-UD5Y2L0V,22-05-2024,24-05-2024,CUST-IN-870623,Vikram Iyer,Consumer,India,Kochi,Kerala,682001,South,TEC-WN-16772257,Electronics,Chairs,Monitor,89.99,1,0,17.0981
54,IND-6B5S0NDS,17-03-2025,18-03-2025,CUST-IN-499182,Vikram Reddy,Corporate,India,Jaipur,Rajasthan,302001,North,TEC-BF-78927334,Furniture,Fasteners,Sofa Set,15.26,7,0,6.2566
55,IND-MTK3QFOO,08-06-2025,12-06-2025,CUST-IN-511478,Rahul Das,Corporate,India,Bengaluru,Karnataka,560001,South,FUR-RA-81534610,Stationery,Phones,Marker Pack,1029.95,5,0,298.6855
56,IND-QJ1MVCY6,02-08-2023,06-08-2023,CUST-IN-605539,Kavya Nair,Consumer,India,Lucknow,Uttar Pradesh,226001,North,OFF-GV-22275439,Stationery,Storage,Desk Organizer,208.56,6,0,52.14
57,IND-7DM9UNN8,07-09-2024,12-09-2024,CUST-IN-773414,Anjali Reddy,Consumer,India,Lucknow,Uttar Pradesh,226001,North,OFF-AO-35690037,Electronics,Paper,Keyboard,32.4,5,0,15.552
58,IND-8EK09CV6,02-03-2025,05-03-2025,CUST-IN-915813,Vikram Iyer,Consumer,India,Lucknow,Uttar Pradesh,226001,North,TEC-ZC-31430369,Furniture,Chairs,Wooden Table,319.41,5,0.1,7.098
59,IND-GAM1OA7J,06-10-2024,07-10-2024,CUST-IN-689251,Amit Reddy,Consumer,India,Jaipur,Rajasthan,302001,North,OFF-RC-28175489,Electronics,Paper,Laptop,14.56,2,0,6.9888
60,IND-TRKALW53,06-06-2024,07-06-2024,CUST-IN-507170,Anjali Singh,Consumer,India,Bengaluru,Karnataka,560001,South,FUR-QE-48017639,Furniture,Accessories,Bookshelf,30,2,0,3.3
61,IND-VEC3FTGI,03-07-2025,07-07-2025,CUST-IN-134419,Sneha Gupta,Consumer,India,Mumbai,Maharashtra,400001,West,OFF-OA-57341083,Electronics,Binders,Monitor,48.48,4,0.2,16.362
62,IND-C06VZ8P8,06-01-2024,10-01-2024,CUST-IN-896731,Rohit Mehta,Consumer,India,Kolkata,West Bengal,700001,East,OFF-SI-81088775,Stationery,Art,Marker Pack,1.68,1,0,0.84
63,IND-ZLEDYVVD,03-11-2025,04-11-2025,CUST-IN-669372,Sneha Das,Consumer,India,Delhi,Delhi,110001,North,OFF-OZ-79183408,Furniture,Accessories,Office Chair,13.98,2,0,6.1512
64,IND-BJ3W7CIN,07-02-2024,12-02-2024,CUST-IN-916637,Neha Sharma,Consumer,India,Jaipur,Rajasthan,302001,North,TEC-DC-98639127,Electronics,Binders,Laptop,25.824,6,0.2,9.3612
65,IND-YME1T3D6,01-11-2023,02-11-2023,CUST-IN-301772,Kavya Mehta,Consumer,India,Hyderabad,Telangana,500001,South,FUR-SP-01998497,Stationery,Paper,Desk Organizer,146.73,3,0,68.9631
66,IND-NG8DQ3EK,02-03-2025,05-03-2025,CUST-IN-549565,Arjun Iyer,Consumer,India,Jaipur,Rajasthan,302001,North,OFF-UQ-93311747,Electronics,Furnishings,Wireless Mouse,79.76,4,0,22.3328
67,IND-9ZIJ67DF,17-06-2025,21-06-2025,CUST-IN-229628,Arjun Singh,Home Office,India,Bengaluru,Karnataka,560001,South,FUR-MM-00462258,Stationery,Chairs,Marker Pack,213.115,5,0.3,-15.2225
68,IND-TLT2HDV1,05-03-2024,09-03-2024,CUST-IN-350155,Priya Das,Corporate,India,Kolkata,West Bengal,700001,East,FUR-XZ-33956803,Electronics,Art,Wireless Mouse,1113.024,8,0.2,111.3024
69,IND-HJQABU6D,06-01-2025,07-01-2025,CUST-IN-731176,Rahul Sharma,Corporate,India,Jaipur,Rajasthan,302001,North,TEC-ZP-58534538,Stationery,Phones,Marker Pack,167.968,4,0.2,62.988
70,IND-MBHP1MXI,13-10-2023,15-10-2023,CUST-IN-514277,Amit Iyer,Consumer,India,Kolkata,West Bengal,700001,East,OFF-GF-72514605,Furniture,Paper,Bookshelf,75.88,2,0,35.6636
71,IND-J3MMX09S,29-12-2025,01-01-2026,CUST-IN-559032,Neha Sharma,Consumer,India,Mumbai,Maharashtra,400001,West,TEC-KZ-94925160,Electronics,Binders,Laptop,4.616,1,0.2,1.731
72,IND-5U04VCAV,09-07-2023,13-07-2023,CUST-IN-050271,Priya Nair,Consumer,India,Lucknow,Uttar Pradesh,226001,North,FUR-SM-68962211,Electronics,Paper,Laptop,19.05,3,0,8.763
73,IND-GWSV9Y8F,07-07-2025,11-07-2025,CUST-IN-494320,Rohit Gupta,Consumer,India,Delhi,Delhi,110001,North,OFF-SX-64819407,Electronics,Chairs,Laptop,831.936,8,0.2,-114.3912
74,IND-BX06V50Q,11-03-2024,12-03-2024,CUST-IN-180189,Anjali Nair,Consumer,India,Delhi,Delhi,110001,North,TEC-IR-11150984,Stationery,Furnishings,Desk Organizer,97.04,2,0.2,1.213
75,IND-ZDX46AII,23-07-2023,28-07-2023,CUST-IN-920525,Priya Khan,Consumer,India,Kochi,Kerala,682001,South,FUR-EN-91027902,Furniture,Storage,Bookshelf,72.784,1,0.2,-18.196
76,IND-ZMU0UNJ8,26-04-2024,01-05-2024,CUST-IN-990268,Neha Patel,Corporate,India,Pune,Maharashtra,411001,West,FUR-MU-98362625,Electronics,Binders,Keyboard,1.248,3,0.8,-1.9344
77,IND-1NCL8EPD,18-06-2023,23-06-2023,CUST-IN-099595,Rahul Nair,Corporate,India,Mumbai,Maharashtra,400001,West,OFF-OW-48914246,Electronics,Furnishings,Laptop,9.708,3,0.6,-5.8248
78,IND-OT3CVWQT,13-11-2025,17-11-2025,CUST-IN-678018,Priya Patel,Corporate,India,Kolkata,West Bengal,700001,East,FUR-VN-72690291,Electronics,Storage,Laptop,27.24,3,0.2,2.724
79,IND-2HSXG9GP,12-10-2025,17-10-2025,CUST-IN-041593,Anjali Reddy,Consumer,India,Delhi,Delhi,110001,North,TEC-VT-69054209,Stationery,Furnishings,Desk Organizer,19.3,5,0.6,-14.475
80,IND-06QI26V4,14-03-2025,16-03-2025,CUST-IN-814553,Neha Nair,Corporate,India,Mumbai,Maharashtra,400001,West,TEC-VV-02505177,Furniture,Appliances,Bookshelf,208.16,1,0,56.2032
81,IND-DFEAG1EX,26-03-2025,30-03-2025,CUST-IN-818542,Vikram Gupta,Corporate,India,Lucknow,Uttar Pradesh,226001,North,FUR-WT-07445645,Furniture,Binders,Wooden Table,16.74,3,0,8.0352
82,IND-7B3FDH2T,24-12-2024,27-12-2024,CUST-IN-027967,Neha Iyer,Consumer,India,Bhubaneswar,Odisha,751001,East,OFF-JK-93391840,Furniture,Art,Wooden Table,14.9,5,0,4.172
83,IND-V815N635,12-09-2023,15-09-2023,CUST-IN-653642,Sneha Khan,Consumer,India,Kolkata,West Bengal,700001,East,TEC-RN-50301575,Electronics,Storage,Monitor,21.39,1,0,6.2031
84,IND-FFNBETP2,23-06-2024,27-06-2024,CUST-IN-274759,Vikram Reddy,Corporate,India,Chennai,Tamil Nadu,600001,South,FUR-KY-08838608,Stationery,Envelopes,Desk Organizer,200.984,7,0.2,62.8075
85,IND-6NMGVMUV,09-06-2025,13-06-2025,CUST-IN-255341,Rahul Gupta,Home Office,India,Ahmedabad,Gujarat,380001,West,OFF-PL-84445244,Furniture,Storage,Sofa Set,230.376,3,0.2,-48.9549
86,IND-KSR4GCXI,24-06-2023,26-06-2023,CUST-IN-637264,Rohit Sharma,Consumer,India,Hyderabad,Telangana,500001,South,FUR-FN-88768032,Electronics,Chairs,Wireless Mouse,301.96,2,0,33.2156
87,IND-TTYF4Z36,25-12-2025,27-12-2025,CUST-IN-173622,Sneha Reddy,Consumer,India,Jaipur,Rajasthan,302001,North,TEC-FZ-21373813,Electronics,Accessories,Monitor,19.99,1,0,6.7966
88,IND-IOJPXTM7,20-06-2024,23-06-2024,CUST-IN-668265,Anjali Das,Consumer,India,Mumbai,Maharashtra,400001,West,OFF-NV-61394641,Furniture,Labels,Bookshelf,6.16,2,0,2.9568
89,IND-2JLQMGGD,17-04-2024,21-04-2024,CUST-IN-818802,Priya Khan,Home Office,India,Chennai,Tamil Nadu,600001,South,FUR-EG-45260064,Furniture,Storage,Office Chair,158.368,7,0.2,13.8572
90,IND-UWO0YD2Y,22-04-2024,26-04-2024,CUST-IN-136861,Amit Gupta,Corporate,India,Lucknow,Uttar Pradesh,226001,North,OFF-OZ-18513742,Furniture,Art,Bookshelf,20.1,3,0,6.633
91,IND-XZLJ7Y5C,01-06-2023,04-06-2023,CUST-IN-474932,Kavya Nair,Corporate,India,Bhubaneswar,Odisha,751001,East,TEC-KF-16375691,Stationery,Phones,Pen Set,73.584,2,0.2,8.2782
92,IND-V2WISCTN,15-11-2024,17-11-2024,CUST-IN-623473,Arjun Patel,Corporate,India,Mumbai,Maharashtra,400001,West,TEC-PW-28705681,Furniture,Paper,Office Chair,6.48,1,0,3.1104
93,IND-P1S9WMLK,17-11-2023,19-11-2023,CUST-IN-765523,Sneha Iyer,Consumer,India,Lucknow,Uttar Pradesh,226001,North,TEC-QV-92941856,Electronics,Paper,Monitor,12.96,2,0,6.2208
94,IND-D3Q9R66R,26-10-2025,30-10-2025,CUST-IN-039282,Rohit Khan,Consumer,India,Lucknow,Uttar Pradesh,226001,North,TEC-RV-04085365,Furniture,Furnishings,Office Chair,53.34,3,0,16.5354
95,IND-W9I3KT1C,10-10-2023,14-10-2023,CUST-IN-084164,Amit Patel,Consumer,India,Bhubaneswar,Odisha,751001,East,TEC-BB-03419404,Electronics,Binders,Keyboard,32.96,2,0,16.1504
96,IND-7S8U842U,16-07-2024,17-07-2024,CUST-IN-537284,Neha Singh,Home Office,India,Delhi,Delhi,110001,North,FUR-HY-98270225,Furniture,Binders,Bookshelf,5.682,1,0.7,-3.788
97,IND-NS3PRNMG,21-07-2023,26-07-2023,CUST-IN-040747,Priya Nair,Home Office,India,Hyderabad,Telangana,500001,South,FUR-PY-11265027,Electronics,Furnishings,Wireless Mouse,96.53,7,0,40.5426
98,IND-9DVN74MF,19-06-2024,22-06-2024,CUST-IN-841838,Neha Patel,Consumer,India,Mumbai,Maharashtra,400001,West,TEC-QI-58677944,Stationery,Binders,Marker Pack,51.312,3,0.2,17.9592
99,IND-KN47XO9E,16-01-2023,18-01-2023,CUST-IN-016613,Amit Iyer,Corporate,India,Bhubaneswar,Odisha,751001,East,OFF-QL-85331424,Furniture,Appliances,Office Chair,77.88,6,0,22.5852
100,IND-XKKPCKY8,30-04-2023,04-05-2023,CUST-IN-744692,Vikram Singh,Home Office,India,Kochi,Kerala,682001,South,OFF-OW-38463795,Stationery,Paper,Marker Pack,64.624,7,0.2,22.6184
101,IND-XM1GKW4D,08-01-2024,09-01-2024,CUST-IN-588208,Kavya Nair,Home Office,India,Ahmedabad,Gujarat,380001,West,TEC-YG-41261455,Furniture,Accessories,Office Chair,95.976,3,0.2,-10.7973
102,IND-DKDURU7B,10-01-2024,15-01-2024,CUST-IN-224104,Rohit Sharma,Home Office,India,Kolkata,West Bengal,700001,East,OFF-UC-04958932,Stationery,Binders,Marker Pack,1.788,3,0.8,-3.0396
103,IND-6KBK7E96,13-07-2024,17-07-2024,CUST-IN-658620,Anjali Nair,Consumer,India,Kolkata,West Bengal,700001,East,TEC-RP-30738136,Electronics,Paper,Wireless Mouse,23.92,4,0,11.7208
104,IND-QC13H90H,30-03-2024,02-04-2024,CUST-IN-425580,Anjali Nair,Consumer,India,Ahmedabad,Gujarat,380001,West,TEC-CU-00403866,Furniture,Accessories,Office Chair,238.896,6,0.2,-26.8758
105,IND-WUBXP022,25-12-2025,26-12-2025,CUST-IN-529923,Rohit Khan,Consumer,India,Pune,Maharashtra,411001,West,FUR-XS-29534387,Electronics,Furnishings,Wireless Mouse,102.36,3,0.2,-3.8385
106,IND-49HQWRBA,16-09-2023,21-09-2023,CUST-IN-520923,Vikram Reddy,Consumer,India,Ahmedabad,Gujarat,380001,West,TEC-WA-79184572,Stationery,Binders,Pen Set,36.882,3,0.7,-25.8174
107,IND-YGZY2R8T,29-03-2023,30-03-2023,CUST-IN-491414,Rohit Sharma,Consumer,India,Chennai,Tamil Nadu,600001,South,OFF-IZ-66976782,Stationery,Accessories,Desk Organizer,74.112,8,0.2,17.6016
108,IND-2SF7CTPR,16-12-2025,19-12-2025,CUST-IN-256865,Rahul Gupta,Consumer,India,Mumbai,Maharashtra,400001,West,TEC-OJ-25761968,Furniture,Phones,Sofa Set,27.992,1,0.2,2.0994
109,IND-I69V0WPD,19-06-2025,22-06-2025,CUST-IN-245385,Rahul Khan,Consumer,India,Kolkata,West Bengal,700001,East,TEC-TB-45063994,Furniture,Art,Sofa Set,3.304,1,0.2,1.0738
110,IND-E0OILGLI,13-06-2024,17-06-2024,CUST-IN-720645,Rahul Sharma,Home Office,India,Delhi,Delhi,110001,North,TEC-PP-20913838,Furniture,Accessories,Sofa Set,339.96,5,0.2,67.992
111,IND-1I8M7HSW,08-02-2025,11-02-2025,CUST-IN-282312,Rohit Iyer,Corporate,India,Hyderabad,Telangana,500001,South,TEC-RN-36874343,Stationery,Furnishings,Marker Pack,41.96,2,0,10.9096
112,IND-CPX3OQGT,16-08-2023,18-08-2023,CUST-IN-886602,Rohit Iyer,Consumer,India,Bhubaneswar,Odisha,751001,East,OFF-PJ-28527658,Furniture,Art,Bookshelf,75.96,2,0,22.788
113,IND-NMSYKQA4,19-12-2024,23-12-2024,CUST-IN-885835,Vikram Khan,Consumer,India,Bengaluru,Karnataka,560001,South,FUR-RY-38433217,Stationery,Binders,Pen Set,27.24,6,0,13.3476
114,IND-JJ5NQ4OH,21-01-2025,24-01-2025,CUST-IN-880086,Arjun Nair,Consumer,India,Bhubaneswar,Odisha,751001,East,TEC-DV-55828935,Furniture,Fasteners,Wooden Table,40.096,14,0.2,14.5348
115,IND-05LX0CJA,28-07-2025,01-08-2025,CUST-IN-007542,Rahul Gupta,Consumer,India,Chennai,Tamil Nadu,600001,South,TEC-LS-28127192,Furniture,Envelopes,Bookshelf,4.72,2,0.2,1.652
116,IND-SBSJM7H8,11-10-2023,16-10-2023,CUST-IN-087111,Vikram Nair,Consumer,India,Bhubaneswar,Odisha,751001,East,TEC-LW-50387626,Furniture,Paper,Wooden Table,23.976,3,0.2,7.4925
117,IND-HC2ONNNC,28-04-2024,02-05-2024,CUST-IN-255499,Priya Singh,Consumer,India,Bhubaneswar,Odisha,751001,East,FUR-SO-72972101,Electronics,Envelopes,Wireless Mouse,130.464,6,0.2,44.0316
118,IND-Y4N9VTB8,11-04-2024,12-04-2024,CUST-IN-425924,Vikram Khan,Consumer,India,Lucknow,Uttar Pradesh,226001,North,TEC-JH-25600908,Stationery,Tables,Pen Set,787.53,3,0,165.3813
119,IND-5IER7NC7,17-05-2023,22-05-2023,CUST-IN-262059,Neha Reddy,Corporate,India,Lucknow,Uttar Pradesh,226001,North,OFF-NN-57589901,Stationery,Binders,Desk Organizer,157.794,1,0.7,-115.7156
120,IND-9KFWX11K,25-09-2024,30-09-2024,CUST-IN-783354,Rohit Sharma,Consumer,India,Kolkata,West Bengal,700001,East,TEC-JS-29837925,Electronics,Furnishings,Monitor,47.04,3,0,18.3456
121,IND-H3AH5HNA,29-07-2025,30-07-2025,CUST-IN-220380,Priya Das,Consumer,India,Hyderabad,Telangana,500001,South,OFF-UM-02634497,Stationery,Binders,Marker Pack,30.84,4,0,13.878
122,IND-1J9J9X5I,08-02-2025,13-02-2025,CUST-IN-702833,Rahul Das,Consumer,India,Ahmedabad,Gujarat,380001,West,TEC-LA-82266939,Stationery,Storage,Desk Organizer,226.56,6,0,63.4368
123,IND-3HEI8B3O,03-01-2023,05-01-2023,CUST-IN-052522,Neha Khan,Consumer,India,Hyderabad,Telangana,500001,South,TEC-OW-11054050,Stationery,Envelopes,Desk Organizer,115.02,9,0,51.759
